영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
이웃집 BJ,양호열,케이제이픽처스,,케이제이픽처스,2021-03-12,개봉영화,장편,한국,5,5000,5,1000,1,성인물(에로),청소년관람불가,일반영화
자가격리파트너 윤아,양호열,케이제이픽처스,,케이제이픽처스,2021-03-12,개봉영화,장편,한국,5,5000,5,1000,1,성인물(에로),청소년관람불가,일반영화
18 여대생 소라의 순결상실,알렉사 박,케이엘 픽쳐스,,케이엘 픽쳐스,2021-04-22,개봉영화,장편,한국,1,26000,5,2000,1,멜로/로맨스,청소년관람불가,일반영화
19금 절대섹스,알렉사 박,케이엘 픽쳐스,,케이엘 픽쳐스,2021-04-16,개봉영화,장편,한국,1,10000,5,10000,5,멜로/로맨스,청소년관람불가,일반영화
결혼은 비지니스다,리차드 킴,(주)룬컴퍼니,,(주)룬컴퍼니,2021-04-02,개봉영화,장편,한국,1,8000,4,8000,4,성인물(에로),청소년관람불가,일반영화
비밀계약 : 오! 나의 섹신님,김레이,P&미디어,,P&미디어,2021-04-19,개봉영화,장편,한국,1,6000,3,6000,3,성인물(에로),청소년관람불가,일반영화
음란한 여자친구,김동해,라이어 시네마,,케이엘 픽쳐스,2021-04-19,개봉영화,장편,한국,1,6000,3,6000,3,멜로/로맨스,청소년관람불가,일반영화
그녀의 화려한 성생활,알렉사 박,케이엘 픽쳐스,,케이엘 픽쳐스,2021-04-16,개봉영화,장편,한국,1,4000,2,4000,2,멜로/로맨스,청소년관람불가,일반영화
동아시아반일무장전선,김미례,감 픽쳐스,,아이 엠,2020-08-20,개봉영화,장편,한국,23,15000,2,0,0,다큐멘터리,15세이상관람가,독립/예술영화
맛있는 떡집,김동해,라이어 시네마,,케이엘 픽쳐스,2021-04-04,개봉영화,장편,한국,1,4000,2,4000,2,멜로/로맨스,청소년관람불가,일반영화
아내의 이중생활,최찬호,(주)영화사가을,,(주)영화사가을,2021-02-21,개봉영화,장편,한국,1,12000,2,0,0,멜로/로맨스,청소년관람불가,일반영화
정사 : 엄마친구 2 무삭제,김진우,(주)영화사가을,,(주)영화사가을,2021-04-08,개봉영화,장편,한국,1,12000,2,0,0,멜로/로맨스,청소년관람불가,일반영화
가슴 큰 친구 여친,한대위,(주)영화사가을,,(주)영화사가을,2021-03-08,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
가슴큰친구누나들,이정석,스마일컨텐츠,,스마일컨텐츠,2020-11-06,개봉영화,장편,한국,1,5000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
가슴큰친구누나들-무삭제,이정석,스마일컨텐츠,,스마일컨텐츠,2021-01-06,개봉영화,장편,한국,1,5000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
가정부의 유혹,최성은,(주)영화사히트,,(주)영화사히트,2021-02-04,개봉영화,장편,한국,1,1000,1,0,0,드라마,청소년관람불가,일반영화
개인교수 : 세 여자의 섹스수업,구재은,(주)영화사가을,,(주)영화사가을,2021-01-01,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
거짓말 : 친구엄마 무삭제,이대길,뷰소프트,,뷰소프트,2020-12-25,개봉영화,장편,한국,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
관계 : 특별한 형수 2 무삭제,김진우,(주)영화사가을,,(주)영화사가을,2020-12-11,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
