,영화명,제작사,전국 관객수,등급,영화구분,흥행,주연배우_흥행비율,director_rank,gr_rank,dis_rank
393,소설가의 영화,97,4076,0,0,N,0.0,207,10,94
394,나를 죽여줘,92,3951,1,0,N,0.0,206,10,72
395,파로호,271,3920,1,0,N,0.0,173,8,69
396,낮과 달,271,3768,1,0,N,0.0,208,10,75
397,수프와 이데올로기,148,3696,0,0,N,0.0,165,16,70
398,이상한 나라의 수학자,111,3008,0,1,N,0.27777777777777773,191,10,3
399,윤시내가 사라졌다,271,2853,0,0,N,0.0,195,10,89
400,말아,231,2714,0,0,N,0.0,198,10,79
401,초록밤,177,2595,1,0,N,0.0,200,9,79
402,감동주의보,10,2483,2,0,N,0.0,202,12,106
403,스타게이저: 아스트로스코프,104,2475,2,1,N,0.0,218,15,50
404,낮에는 덥고 밤에는 춥고,192,2414,0,0,N,0.0,222,10,91
405,불도저에 탄 소녀,6,2119,1,0,N,0.16666666666666666,210,10,42
406,재춘언니,194,2010,0,0,N,0.0,213,16,71
407,봉명주공,256,1684,2,0,N,0.0,220,16,71
408,히든,38,1671,1,1,N,0.0,221,4,60
409,핸썸,37,1503,0,1,N,0.0,228,7,60
410,선데이리그,195,1495,2,0,N,0.0,254,7,111
411,주연,226,1356,0,0,N,0.0,259,10,93
412,태일이,35,1324,2,0,N,0.2611111111111111,234,14,105
413,부기나이트,119,1217,1,1,N,0.13333333333333333,240,7,67
414,2차 송환,265,1174,0,0,N,0.0,260,16,71
415,모퉁이,279,1098,0,0,N,0.0,243,10,99
416,데드캠핑 더라이브,8,1000,3,1,N,0.0,246,8,107
417,그대라는기억 연숙씨,175,990,2,0,N,0.0,249,16,108
418,투란도트 어둠의 왕국,14,980,0,0,N,0.0,272,5,113
419,작은새와 돼지씨,179,917,2,0,N,0.0,251,16,91
420,아부쟁이,139,896,1,1,N,0.0,248,4,109
421,보통의 용기,144,809,2,1,N,0.06666666666666667,256,16,124
